                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.43659,                0.51736,                0.51568,                0.81565,                0.76326,                0.88255,                0.88741,                 0.7351,                0.76326,                0.88255,                0.88741,                0.71839,                0.66929,                 1.2245,                0.93634,                0.96781,              0.0003268,              0.0003268,              0.0003268
                     70,                0.45795,                0.49568,                0.53092,                0.81919,                0.75315,                0.86217,                0.87901,                0.71822,                0.75315,                0.86217,                0.87901,                0.70659,                 0.6892,                 1.2472,                0.94836,                0.97314,              0.0003169,              0.0003169,              0.0003169
                     71,                0.46315,                0.53709,                0.53677,                0.81989,                0.78361,                0.85301,                0.86818,                0.71044,                0.78819,                0.85624,                0.87203,                0.69223,                0.68691,                 1.3014,                0.98075,                0.98256,               0.000307,               0.000307,               0.000307
                     72,                0.43979,                0.49997,                0.52841,                0.81303,                0.78323,                0.85958,                0.87389,                0.71681,                0.78802,                0.86314,                0.87757,                0.69763,                0.68418,                 1.3208,                0.93762,                0.97832,              0.0002971,              0.0002971,              0.0002971
                     73,                0.43595,                0.49917,                0.51296,                0.81636,                0.76648,                0.84558,                0.86357,                0.70428,                 0.7715,                0.84937,                0.86697,                0.68598,                0.69659,                 1.3256,                0.92178,                 0.9887,              0.0002872,              0.0002872,              0.0002872
                     74,                0.44073,                0.51293,                0.50944,                0.81416,                0.75629,                0.87452,                0.86857,                0.70948,                0.76099,                0.87839,                 0.8746,                0.69452,                0.70446,                 1.3159,                0.89385,                0.99831,              0.0002773,              0.0002773,              0.0002773
                     75,                0.42388,                0.48725,                0.52791,                0.81104,                0.81449,                0.84016,                0.86281,                0.70674,                0.81928,                0.84404,                0.86881,                0.69265,                0.70622,                 1.3278,                0.86432,                0.99747,              0.0002674,              0.0002674,              0.0002674
                     76,                0.46134,                0.53751,                0.52737,                0.81753,                0.80898,                0.84939,                0.86899,                 0.7115,                0.81373,                0.85327,                0.87487,                0.69591,                0.69517,                 1.2873,                 0.8728,                0.99144,              0.0002575,              0.0002575,              0.0002575
                     77,                0.44227,                0.50733,                0.50515,                0.81902,                0.79337,                0.85528,                0.87473,                0.71941,                0.79337,                0.85528,                0.87473,                 0.7054,                0.67169,                 1.2754,                0.91228,                0.97653,              0.0002476,              0.0002476,              0.0002476
                     78,                0.41457,                0.49178,                0.51704,                0.81105,                0.77598,                0.85317,                0.86768,                0.71956,                0.77598,                0.85317,                0.86768,                0.69432,                0.67208,                 1.2872,                 0.9258,                0.97774,              0.0002377,              0.0002377,              0.0002377
                     79,                 0.4273,                0.51107,                 0.5067,                0.81443,                0.77901,                0.85327,                0.87054,                0.71681,                0.77901,                0.85327,                0.87054,                0.69565,                0.66932,                 1.2736,                0.90843,                0.97652,              0.0002278,              0.0002278,              0.0002278
